endTime,addr,countSuccess,totalTimeout,consecutiveTimeout,code,affected
1654718830,66.42.39.54:80,0,0,0,dial tcp 66.42.39.54:80: connect: no route to host,unknown
1654718830,66.175.47.168:80,0,0,0,dial tcp 66.175.47.168:80: connect: connection refused,unknown
1654718830,158.228.157.86:80,0,0,0,dial tcp 158.228.157.86:80: connect: connection refused,unknown
1654718830,139.180.156.22:80,0,0,0,dial tcp 139.180.156.22:80: connect: no route to host,unknown
1654718830,195.180.200.233:80,0,0,0,dial tcp 195.180.200.233:80: connect: connection refused,unknown
1654718830,103.250.46.64:80,0,0,0,dial tcp 103.250.46.64:80: connect: no route to host,unknown
1654718830,103.250.46.157:80,0,0,0,dial tcp 103.250.46.157:80: connect: no route to host,unknown
1654718831,185.210.147.205:80,0,0,0,dial tcp 185.210.147.205:80: connect: no route to host,unknown
1654718831,158.228.150.109:80,0,0,0,dial tcp 158.228.150.109:80: connect: network is unreachable,unknown
1654718831,158.228.148.99:80,0,0,0,dial tcp 158.228.148.99:80: connect: network is unreachable,unknown
1654718833,217.21.70.159:80,0,0,0,dial tcp 217.21.70.159:80: connect: no route to host,unknown
1654718833,45.90.231.187:80,0,0,0,dial tcp 45.90.231.187:80: connect: no route to host,unknown
1654718833,173.231.237.3:80,0,0,0,dial tcp 173.231.237.3:80: connect: no route to host,unknown
1654718833,207.170.191.83:80,0,0,0,dial tcp 207.170.191.83:80: connect: no route to host,unknown
1654718833,173.231.239.204:80,0,0,0,dial tcp 173.231.239.204:80: connect: no route to host,unknown
1654718833,74.124.202.83:80,0,0,0,dial tcp 74.124.202.83:80: connect: no route to host,unknown
1654718833,74.124.195.33:80,0,0,0,dial tcp 74.124.195.33:80: connect: no route to host,unknown
1654718833,173.231.233.239:80,0,0,0,dial tcp 173.231.233.239:80: connect: no route to host,unknown
1654718833,173.231.239.117:80,0,0,0,dial tcp 173.231.239.117:80: connect: no route to host,unknown
1654718833,173.231.225.116:80,0,0,0,dial tcp 173.231.225.116:80: connect: no route to host,unknown
1654718833,192.249.118.96:80,0,0,0,dial tcp 192.249.118.96:80: connect: no route to host,unknown
