endTime,addr,countSuccess,totalTimeout,consecutiveTimeout,code,affected
1654718830,158.228.214.116:80,0,0,0,dial tcp 158.228.214.116:80: connect: connection refused,unknown
1654718830,156.67.75.6:80,0,0,0,dial tcp 156.67.75.6:80: connect: connection refused,unknown
1654718830,139.180.153.198:80,0,0,0,dial tcp 139.180.153.198:80: connect: connection refused,unknown
1654718830,139.180.148.147:80,0,0,0,dial tcp 139.180.148.147:80: connect: connection refused,unknown
1654718830,139.180.145.138:80,0,0,0,dial tcp 139.180.145.138:80: connect: no route to host,unknown
1654718830,66.175.41.64:80,0,0,0,dial tcp 66.175.41.64:80: connect: connection refused,unknown
1654718830,199.250.212.1:80,0,0,0,dial tcp 199.250.212.1:80: connect: connection refused,unknown
1654718830,195.180.201.242:80,0,0,0,dial tcp 195.180.201.242:80: connect: connection refused,unknown
1654718830,81.252.251.90:80,0,0,0,dial tcp 81.252.251.90:80: connect: no route to host,unknown
1654718830,158.228.155.209:80,0,0,0,dial tcp 158.228.155.209:80: connect: connection refused,unknown
1654718830,103.250.46.195:80,0,0,0,dial tcp 103.250.46.195:80: connect: no route to host,unknown
1654718830,156.67.221.26:80,0,0,0,dial tcp 156.67.221.26:80: connect: connection refused,unknown
1654718831,158.228.206.45:80,0,0,0,dial tcp 158.228.206.45:80: connect: network is unreachable,unknown
1654718831,158.228.196.163:80,0,0,0,dial tcp 158.228.196.163:80: connect: network is unreachable,unknown
1654718833,192.145.237.0:80,0,0,0,dial tcp 192.145.237.0:80: connect: no route to host,unknown
1654718833,104.152.110.164:80,0,0,0,dial tcp 104.152.110.164:80: connect: no route to host,unknown
1654718833,209.182.195.32:80,0,0,0,dial tcp 209.182.195.32:80: connect: no route to host,unknown
1654718833,173.231.227.103:80,0,0,0,dial tcp 173.231.227.103:80: connect: no route to host,unknown
1654718833,192.145.236.214:80,0,0,0,dial tcp 192.145.236.214:80: connect: no route to host,unknown
1654718833,192.249.127.42:80,0,0,0,dial tcp 192.249.127.42:80: connect: no route to host,unknown
1654718833,104.152.109.155:80,0,0,0,dial tcp 104.152.109.155:80: connect: no route to host,unknown
1654718833,74.124.195.45:80,0,0,0,dial tcp 74.124.195.45:80: connect: no route to host,unknown
1654718833,173.231.206.16:80,0,0,0,dial tcp 173.231.206.16:80: connect: no route to host,unknown
1654718833,173.231.194.48:80,0,0,0,dial tcp 173.231.194.48:80: connect: no route to host,unknown
1654718833,173.231.199.15:80,0,0,0,dial tcp 173.231.199.15:80: connect: no route to host,unknown
1654718833,209.182.195.161:80,0,0,0,dial tcp 209.182.195.161:80: connect: no route to host,unknown
1654718833,173.231.198.204:80,0,0,0,dial tcp 173.231.198.204:80: connect: no route to host,unknown
1654718833,173.231.229.214:80,0,0,0,dial tcp 173.231.229.214:80: connect: no route to host,unknown
1654718833,199.250.214.81:80,0,0,0,dial tcp 199.250.214.81:80: connect: no route to host,unknown
1654718834,217.21.70.9:80,0,0,0,dial tcp 217.21.70.9:80: connect: no route to host,unknown
1654718835,156.67.208.238:80,0,0,0,dial tcp 156.67.208.238:80: connect: no route to host,unknown
1654718839,207.170.157.97:80,0,1,1,dial tcp 207.170.157.97:80: connect: connection refused,unknown
1654718839,207.170.159.36:80,0,1,1,dial tcp 207.170.159.36:80: connect: connection refused,unknown
1654718839,195.180.203.234:80,0,1,1,dial tcp 195.180.203.234:80: connect: connection refused,unknown
1654718840,45.90.229.162:80,0,1,1,dial tcp 45.90.229.162:80: connect: no route to host,unknown
1654718840,185.187.240.191:80,0,1,1,dial tcp 185.187.240.191:80: connect: no route to host,unknown
1654718842,193.168.195.88:80,0,1,1,dial tcp 193.168.195.88:80: connect: no route to host,unknown
