endTime,addr,countSuccess,totalTimeout,consecutiveTimeout,code,affected
1654718830,198.252.98.197:80,0,0,0,dial tcp 198.252.98.197:80: connect: connection refused,unknown
1654718830,192.249.127.28:80,0,0,0,dial tcp 192.249.127.28:80: connect: no route to host,unknown
1654718830,209.216.67.65:80,0,0,0,dial tcp 209.216.67.65:80: connect: connection refused,unknown
1654718830,139.180.151.111:80,0,0,0,dial tcp 139.180.151.111:80: connect: connection refused,unknown
1654718830,139.180.159.240:80,0,0,0,dial tcp 139.180.159.240:80: connect: connection refused,unknown
1654718830,162.252.72.45:80,0,0,0,dial tcp 162.252.72.45:80: connect: connection refused,unknown
1654718830,185.118.115.215:80,0,0,0,dial tcp 185.118.115.215:80: connect: connection refused,unknown
1654718830,157.230.39.184:80,0,0,0,dial tcp 157.230.39.184:80: connect: connection refused,unknown
1654718830,158.228.146.159:80,0,0,0,dial tcp 158.228.146.159:80: connect: connection refused,unknown
1654718830,194.163.34.128:80,0,0,0,dial tcp 194.163.34.128:80: connect: connection refused,unknown
1654718830,217.21.72.251:80,0,0,0,dial tcp 217.21.72.251:80: connect: connection refused,unknown
1654718830,103.250.46.97:80,0,0,0,dial tcp 103.250.46.97:80: connect: no route to host,unknown
1654718830,142.93.184.189:80,0,0,0,dial tcp 142.93.184.189:80: connect: connection refused,unknown
1654718830,103.250.45.59:80,0,0,0,dial tcp 103.250.45.59:80: connect: no route to host,unknown
1654718830,66.42.33.144:80,0,0,0,dial tcp 66.42.33.144:80: connect: connection refused,unknown
1654718831,158.228.137.6:80,0,0,0,dial tcp 158.228.137.6:80: connect: network is unreachable,unknown
1654718831,158.228.150.55:80,0,0,0,dial tcp 158.228.150.55:80: connect: network is unreachable,unknown
1654718831,158.228.144.4:80,0,0,0,dial tcp 158.228.144.4:80: connect: network is unreachable,unknown
1654718831,185.187.240.234:80,0,0,0,dial tcp 185.187.240.234:80: connect: no route to host,unknown
1654718832,185.210.145.129:80,0,0,0,dial tcp 185.210.145.129:80: connect: no route to host,unknown
1654718833,219.84.228.9:80,0,0,0,dial tcp 219.84.228.9:80: connect: no route to host,unknown
1654718833,173.231.205.81:80,0,0,0,dial tcp 173.231.205.81:80: connect: no route to host,unknown
1654718833,173.231.237.88:80,0,0,0,dial tcp 173.231.237.88:80: connect: no route to host,unknown
1654718833,173.231.235.95:80,0,0,0,dial tcp 173.231.235.95:80: connect: no route to host,unknown
1654718833,173.231.194.173:80,0,0,0,dial tcp 173.231.194.173:80: connect: no route to host,unknown
1654718833,207.170.191.54:80,0,0,0,dial tcp 207.170.191.54:80: connect: no route to host,unknown
1654718833,104.152.108.49:80,0,0,0,dial tcp 104.152.108.49:80: connect: no route to host,unknown
1654718833,23.235.221.187:80,0,0,0,dial tcp 23.235.221.187:80: connect: no route to host,unknown
1654718833,38.101.24.240:80,0,0,0,dial tcp 38.101.24.240:80: connect: no route to host,unknown
1654718834,216.194.164.168:80,0,0,0,dial tcp 216.194.164.168:80: connect: no route to host,unknown
1654718834,156.67.223.103:80,0,0,0,dial tcp 156.67.223.103:80: connect: no route to host,unknown
1654718839,207.170.156.5:80,0,1,1,dial tcp 207.170.156.5:80: connect: connection refused,unknown
1654718840,45.13.254.242:80,0,1,1,dial tcp 45.13.254.242:80: connect: no route to host,unknown
1654718848,195.180.202.59:80,0,2,2,dial tcp 195.180.202.59:80: connect: connection refused,unknown
1654718848,156.67.210.126:80,0,2,2,dial tcp 156.67.210.126:80: connect: no route to host,unknown
1654718857,95.159.46.247:80,0,3,3,timeout,unknown
1654718857,91.136.31.71:80,0,3,3,timeout,unknown
1654718857,163.197.68.168:80,0,3,3,timeout,unknown
1654718857,47.244.244.210:80,0,3,3,timeout,unknown
1654718857,47.244.243.81:80,0,3,3,timeout,unknown
1654718857,207.170.186.174:80,0,3,3,timeout,unknown
1654718857,223.164.45.85:80,0,3,3,timeout,unknown
1654718857,81.252.247.52:80,0,3,3,timeout,unknown
1654718857,223.164.54.8:80,0,3,3,timeout,unknown
1654718857,155.97.47.2:80,0,3,3,timeout,unknown
1654718857,142.93.182.8:80,0,3,3,timeout,unknown
1654718857,91.136.29.215:80,0,3,3,timeout,unknown
1654718857,209.235.154.57:80,0,3,3,timeout,unknown
1654718857,207.170.144.210:80,0,3,3,timeout,unknown
1654718857,66.175.50.94:80,0,3,3,timeout,unknown
1654718857,158.228.146.253:80,0,3,3,timeout,unknown
1654718857,216.55.147.210:80,0,3,3,timeout,unknown
1654718857,81.252.240.7:80,0,3,3,timeout,unknown
1654718857,139.180.154.47:80,0,3,3,timeout,unknown
1654718857,163.197.108.87:80,0,3,3,timeout,unknown
1654718857,223.164.41.63:80,0,3,3,timeout,unknown
1654718857,163.197.81.55:80,0,3,3,timeout,unknown
1654718857,47.244.252.213:80,0,3,3,timeout,unknown
1654718857,138.255.2.74:80,0,3,3,timeout,unknown
1654718857,163.197.106.187:80,0,3,3,timeout,unknown
1654718857,95.159.51.175:80,0,3,3,timeout,unknown
1654718857,47.244.240.52:80,0,3,3,timeout,unknown
1654718857,47.244.253.3:80,0,3,3,timeout,unknown
1654718857,216.251.41.133:80,0,3,3,timeout,unknown
1654718857,223.164.66.28:80,0,3,3,timeout,unknown
1654718857,95.159.45.5:80,0,3,3,timeout,unknown
1654718857,163.197.77.226:80,0,3,3,timeout,unknown
1654718857,173.231.202.142:80,0,3,3,timeout,unknown
1654718857,219.84.230.45:80,0,3,3,timeout,unknown
1654718857,95.159.60.222:80,0,3,3,timeout,unknown
1654718857,64.29.146.222:80,0,3,3,timeout,unknown
1654718857,219.84.235.219:80,0,3,3,timeout,unknown
1654718857,163.197.69.191:80,0,3,3,timeout,unknown
1654718857,95.159.54.222:80,0,3,3,timeout,unknown
