endTime,addr,countSuccess,totalTimeout,consecutiveTimeout,code,affected
1654718830,66.42.46.141:80,0,0,0,dial tcp 66.42.46.141:80: connect: connection refused,unknown
1654718830,199.250.213.92:80,0,0,0,dial tcp 199.250.213.92:80: connect: connection refused,unknown
1654718830,157.230.32.140:80,0,0,0,dial tcp 157.230.32.140:80: connect: connection refused,unknown
1654718830,217.21.78.17:80,0,0,0,dial tcp 217.21.78.17:80: connect: connection refused,unknown
1654718830,66.175.28.133:80,0,0,0,dial tcp 66.175.28.133:80: connect: connection refused,unknown
1654718830,162.252.72.147:80,0,0,0,dial tcp 162.252.72.147:80: connect: connection refused,unknown
1654718830,195.180.197.170:80,0,0,0,dial tcp 195.180.197.170:80: connect: connection refused,unknown
1654718830,195.180.196.82:80,0,0,0,dial tcp 195.180.196.82:80: connect: connection refused,unknown
1654718830,195.180.199.215:80,0,0,0,dial tcp 195.180.199.215:80: connect: connection refused,unknown
1654718830,95.159.39.117:80,0,0,0,dial tcp 95.159.39.117:80: connect: connection refused,unknown
1654718830,95.159.31.181:80,0,0,0,dial tcp 95.159.31.181:80: connect: connection refused,unknown
1654718831,156.67.64.184:80,0,0,0,dial tcp 156.67.64.184:80: connect: no route to host,unknown
1654718833,173.231.235.88:80,0,0,0,dial tcp 173.231.235.88:80: connect: no route to host,unknown
1654718833,173.231.227.113:80,0,0,0,dial tcp 173.231.227.113:80: connect: no route to host,unknown
1654718833,173.231.231.213:80,0,0,0,dial tcp 173.231.231.213:80: connect: no route to host,unknown
1654718833,104.152.109.246:80,0,0,0,dial tcp 104.152.109.246:80: connect: no route to host,unknown
1654718833,192.145.237.110:80,0,0,0,dial tcp 192.145.237.110:80: connect: no route to host,unknown
1654718833,173.231.197.133:80,0,0,0,dial tcp 173.231.197.133:80: connect: no route to host,unknown
1654718833,192.249.112.90:80,0,0,0,dial tcp 192.249.112.90:80: connect: no route to host,unknown
1654718833,173.231.236.198:80,0,0,0,dial tcp 173.231.236.198:80: connect: no route to host,unknown
1654718833,199.250.214.136:80,0,0,0,dial tcp 199.250.214.136:80: connect: no route to host,unknown
1654718833,192.249.127.152:80,0,0,0,dial tcp 192.249.127.152:80: connect: no route to host,unknown
1654718833,173.231.230.48:80,0,0,0,dial tcp 173.231.230.48:80: connect: no route to host,unknown
1654718833,173.231.230.118:80,0,0,0,dial tcp 173.231.230.118:80: connect: no route to host,unknown
1654718833,173.231.225.70:80,0,0,0,dial tcp 173.231.225.70:80: connect: no route to host,unknown
1654718833,199.250.212.28:80,0,0,0,dial tcp 199.250.212.28:80: connect: no route to host,unknown
1654718834,156.67.223.193:80,0,0,0,dial tcp 156.67.223.193:80: connect: no route to host,unknown
1654718839,195.180.196.119:80,0,1,1,dial tcp 195.180.196.119:80: connect: connection refused,unknown
1654718839,195.180.202.85:80,0,1,1,dial tcp 195.180.202.85:80: connect: connection refused,unknown
1654718839,151.106.117.169:80,0,1,1,dial tcp 151.106.117.169:80: connect: no route to host,unknown
1654718840,45.90.228.84:80,0,1,1,dial tcp 45.90.228.84:80: connect: no route to host,unknown
1654718848,207.170.158.109:80,0,2,2,dial tcp 207.170.158.109:80: connect: connection refused,unknown
1654718849,156.67.75.203:80,0,2,2,dial tcp 156.67.75.203:80: connect: no route to host,unknown
1654718849,185.229.112.191:80,0,2,2,dial tcp 185.229.112.191:80: connect: no route to host,unknown
1654718849,185.214.125.185:80,0,2,2,dial tcp 185.214.125.185:80: connect: no route to host,unknown
1654718852,151.106.117.242:80,0,2,2,dial tcp 151.106.117.242:80: connect: no route to host,unknown
1654718853,45.90.228.65:80,0,2,2,dial tcp 45.90.228.65:80: connect: no route to host,unknown
1654718857,207.170.185.24:80,0,3,3,timeout,unknown
1654718857,64.29.149.158:80,0,3,3,timeout,unknown
1654718857,66.175.47.31:80,0,3,3,timeout,unknown
1654718857,63.160.184.145:80,0,3,3,timeout,unknown
1654718857,194.195.44.153:80,0,3,3,timeout,unknown
1654718857,95.159.9.34:80,0,3,3,timeout,unknown
1654718857,216.194.165.237:80,0,3,3,timeout,unknown
1654718857,223.164.62.138:80,0,3,3,timeout,unknown
1654718857,66.42.33.12:80,0,3,3,timeout,unknown
1654718857,64.29.144.220:80,0,3,3,timeout,unknown
1654718857,216.55.148.180:80,0,3,3,timeout,unknown
1654718857,63.160.182.36:80,0,3,3,timeout,unknown
1654718857,66.42.35.112:80,0,3,3,timeout,unknown
1654718857,158.228.201.24:80,0,3,3,timeout,unknown
1654718857,47.244.249.174:80,0,3,3,timeout,unknown
1654718857,45.93.139.139:80,0,3,3,timeout,unknown
1654718857,223.164.57.17:80,0,3,3,timeout,unknown
1654718857,223.164.103.105:80,0,3,3,timeout,unknown
1654718857,85.254.6.186:80,0,3,3,timeout,unknown
1654718857,209.235.149.172:80,0,3,3,timeout,unknown
1654718857,163.197.120.243:80,0,3,3,timeout,unknown
1654718857,64.29.147.231:80,0,3,3,timeout,unknown
1654718857,158.228.156.231:80,0,3,3,timeout,unknown
1654718857,95.159.51.62:80,0,3,3,timeout,unknown
1654718857,95.159.4.101:80,0,3,3,timeout,unknown
1654718857,163.197.106.224:80,0,3,3,timeout,unknown
1654718857,223.164.38.184:80,0,3,3,timeout,unknown
1654718857,209.235.159.38:80,0,3,3,timeout,unknown
